69
12
0 1 2
0 1 3
0 1 4
0 1 6
0 1 7
0 1 8
0 1 10
0 2 4
0 2 5
0 2 6
0 2 7
0 2 8
0 2 10
0 2 11
0 3 4
0 3 5
0 3 8
0 3 9
0 3 10
0 4 7
0 4 9
0 4 10
0 4 11
0 5 7
0 5 8
0 5 10
0 6 8
0 7 9
0 7 10
0 8 11
0 9 10
0 9 11
0 10 11
1 2 4
1 2 6
1 2 7
1 2 10
1 3 6
1 3 7
1 3 9
1 3 11
1 4 8
1 4 9
1 4 11
1 5 6
1 5 7
1 6 7
1 6 8
1 7 8
1 7 10
1 7 11
1 8 11
1 9 10
1 9 11
1 10 11
2 3 5
2 3 6
2 3 7
2 3 10
2 4 5
2 4 6
2 4 7
2 5 8
2 5 9
2 5 10
2 6 8
2 6 10
2 6 11
2 7 9
2 7 11
2 8 11
2 9 10
3 4 7
3 4 10
3 4 11
3 5 6
3 5 9
3 5 10
3 6 7
3 6 10
3 7 8
3 7 9
3 7 10
3 8 9
3 8 10
3 8 11
3 9 11
3 10 11
4 5 6
4 5 8
4 5 9
4 6 11
4 7 9
4 7 11
4 8 9
4 10 11
5 6 7
5 6 10
5 6 11
5 7 8
5 7 9
5 8 9
5 8 11
5 10 11
6 7 8
6 7 9
6 8 9
6 8 10
6 9 10
6 9 11
6 10 11
7 8 10
7 9 11
7 10 11
8 9 11
